Name,Outlook
Isaiah Crowell,"Crowell barely managed top-35 fantasy campaigns during his first two professional seasons but increased efficiency and a larger passing-game role helped him leap to a 14th-place finish last year. Crowell was a bit reliant on a handful of big plays but still managed a 4.8 YPC (15th) on 198 carries. He continues to struggle after initial contact -- since he entered the league, his 1.47 YAC is worst in the league among backs with at least 300 carries -- and was helped by 3.3 yards before contact last year (third highest). He doubled his previous career total with 40 receptions, but he'll still play second fiddle to impressive third-year back Duke Johnson Jr. in that department."
Alshon Jeffery,"Jeffery heads to Philadelphia on a one-year deal after spending the first five years of his career in Chicago. The 2012 second-round pick has missed quite a bit of time during his career, but his durability woes are probably a bit overstated; he's missed a total of seven games due to injury the past four years. Jeffery has been a super-productive and heavily utilized target when healthy. During those past four years, he's averaging 9.0 targets per game. His average of 16.0 fantasy points per game in PPR play during that span would've ranked ninth at the position last season. He sits third in the entire NFL in end zone targets during the past four years (63). Jeffery is in his prime at age 27 and will be a workhorse as Carson Wentz's top target."
Keenan Allen,"Now four years into his NFL career, Allen has been a heavily utilized and terrific fantasy asset when active, but he's now missed 23 games due to injury over the past two years. Allen has yet to appear in 16 games in a single season. The former second-round pick is averaging 8.5 targets per game (24 percent share) during the 36 games of his career in which he's played at least two-thirds of the Chargers' pass play snaps. He might not be able to hit that mark this year with the Chargers' receiving arsenal suddenly pretty stacked. Considering he's primarily used in the short area, the projected dip in usage and his durability woes knock him into WR3 territory (fringe WR2 in PPR)."
Michael Crabtree,"Who led the Raiders in targets and receiving touchdowns each of the past two years? If you guessed Amari Cooper, you guessed wrong. Crabtree has been the team's top wideout both seasons, posting strikingly similar stat lines both years. Crabtree's high floor has been his best asset, as he finished as a top-40 fantasy wideout during 10 of his final 11 games in 2015 and top-30 in 63 percent of his 2016 appearances (sixth best). Crabtree has struggled with drops (nine last season) and doesn't add much after the catch (3.1 RAC), but he sees a ton of high-value targets (he's ranked top-10 in end zone targets among wide receivers each of the past two years) in a good offense. The 29-year-old is a solid WR2."
Marshawn Lynch,"Lynch ended his retirement after one season and will return to the league as Oakland's feature back. The Oakland native is now 31 years old, hasn't played football since struggling to a 3.8 YPC during an injury-plagued 2015 season. Still, it's hard to doubt a player who racked up 6,347 yards and 57 touchdowns on 1,457 carries (4.4 YPC) during his six seasons in Seattle. A staple the near the goal line, Lynch paces the NFL with 100 carries inside the opponent's 5-yard line over the past decade. The Raiders' offensive line is among the league's best, which will surely help Lynch's effectiveness. He's a candidate for double-digit touchdowns and a fine RB2 target."
Golden Tate,"Tate has been on the field for at least 87 percent of his team's snaps in four consecutive seasons (one with Seattle, three with Detroit), and he's averaging 7.6 targets and 0.4 carries per game during that span. Last season, Tate ranked 17th among wide receivers in fantasy points, including seventh after Week 5. He's one of four NFL players who have caught 90-plus passes each of the past three seasons. He doesn't score many touchdowns (14 total in three seasons with Detroit), but did show some upside by posting a top-10 fantasy week in 31 percent of his outings last year (seventh-best). The 29-year-old is an underrated WR2 who belongs in the WR3 mix in non-PPR."
Carlos Hyde,"Hyde can't seem to stay on the field (14 missed games in three seasons), but he has been extremely effective when healthy. Hyde averaged a career-best 4.6 YPC on 217 carries last season and has ranked top 10 in the NFL in YAC each of the past two years. Hyde finished 2016 ranked 18th in fantasy points in only 13 games, posting five top-10 weeks. He was powered by nine touchdowns, although he's unlikely to repeat his three receiving scores with such a limited passing-down role."
Danny Woodhead,"Woodhead missed most of last season with a torn ACL and joins the Ravens at 32 years old. Considering his age, injury woes and new home, Woodhead's effectiveness and role are tough to predict, but it's hard to imagine him coming anywhere close to the 78.5 receptions he averaged during his two full seasons in San Diego. Still, Woodhead will surely slide in as the passing-down specialist, with Terrance West dominating early downs. Consider him an RB2 option and downgrade him in non-PPR."
Ty Montgomery,"Green Bay's third-round pick in 2015, Montgomery converted to running back during the 2016 season, which seems like a smart move, considering his level of success. He impressed by averaging 5.9 YPC and 3.3 yards after contact, both of which were tops in the NFL. Montgomery is unlikely to emerge as a workhorse, especially after the team selected tailbacks Jamaal Williams, Aaron Jones and Devante Mays in April's draft, but his strong play suggests he'll at least remain busy as part of a committee. He's a fine flex target."
Larry Fitzgerald,"Fitzgerald's career is winding down, but it's safe to say his projected demise has been greatly exaggerated. The 33-year-old future Hall of Famer paced the NFL with 107 receptions last season and finished as a top-11 fantasy wideout for the seventh time in 10 years. Fitzgerald primarily works in the short area from the slot, which is reflected in his 9.6 yards per catch(fifth lowest) last season. Hot starts and slow finishes have been a problem for Fitzgerald. Over the past two seasons, he's first in fantasy points during Weeks 1-5 and 33rd from Week 14 on. Fitzgerald will again be a key target in an Arizona offense that quietly ranked sixth in touchdowns last season. He's a WR2 and should be downgraded in non-PPR."
Jordan Reed,"Reed has posted a pair of top-10 fantasy seasons in the past two seasons, which is impressive when you consider he missed six games during the span. In fact, he's never appeared in more than 14 games in a single season. Reed handled 8.3 targets per game during 38 career games in which he was on the field for more than half of the Redskins' offensive plays. The mark is 8.8 if we limit the sample to the past two seasons (24 games). Incredibly, Reed has caught at least three-quarters of his targets during each of his four NFL seasons. Reed's injury woes are a pain, but he's a heavily utilized and elite fantasy tight end when active."
Bilal Powell,"Powell spent most of the 2016 season as a passing-down specialist behind Matt Forte, but he exploded down the stretch. In the final four weeks of the season, Powell averaged 20.5 carries and 5.8 targets per game. He racked up 552 yards and three scores and trailed only Le'Veon Bell in fantasy points in that span. Powell averaged 5.5 YPC (fifth), including 2.2 after contact (eighth). He quietly ranks sixth among backs with 105 receptions over the past two seasons. Forte remains in the mix, but Powell, 28, is the better bet to lead the Jets' backfield in touches this season. "
Christian McCaffrey,"McCaffrey enters the NFL with a ton of pedigree following an absurdly productive and highly publicized collegiate career. The 20-year-old has sufficient size (5-foot-11, 202 pounds) and speed, but truly makes hay with extraordinary elusiveness and vision. McCaffrey converted nearly three-quarters of his third-down carries and only 10 percent of his 253 attempts went for negative yards last season. McCaffrey is also a strong receiver and returner and can block. He killed it at the combine, posting a 4.48 40-yard dash while also dominating the vertical jump, three-cone, short shuttle and 60-yard shuttle. The seventh overall pick in April's draft immediately steps into a significant role in Carolina. He will surely defer some carries and goal-line work to Jonathan Stewart, but McCaffrey's versatility will allow him enough work to provide RB2 production."
Aaron Rodgers,"Fantasy's reigning top-scoring quarterback is coming off a season in which he threw for 4,428 yards, ran for a career-high 369 yards and had a hand in 44 touchdowns. Rodgers finished in the top five of the league in pass attempts, completions, passing yards and touchdowns. The Packers won't be as obscenely reliant on the pass in 2017, but this remains a pass-first offense that added Martellus Bennett to a unit that also includes Jordy Nelson, Randall Cobb and Davante Adams. Rodgers has finished as a top-two fantasy quarterback during seven of the past nine seasons and is the best bet to top the charts in 2017."
Tom Brady,"Brady was suspended for the first four games of last season, but he still managed to toss 28 touchdowns, which was seventh most in the league. Brady was absolutely dominant upon his return, ranking fifth in completion percentage (67 percent) and second in yards per attempt (8.2), while throwing only two interceptions. He posted a top-10 fantasy week during 58 percent of his outings and has ranked top-five in that category during five of the past seven years. The return of Rob Gronkowski and the team's addition of Brandin Cooks only add to Brady's appeal during his age-40 season."
Jarvis Landry,"Landry enters his fourth NFL season as one of the game's most reliable short-area/slot targets, but his role has grossly capped his fantasy upside. Landry ranks fourth in the NFL in receptions but 58th in touchdown catches since entering the league. Incredibly, Landry was afforded only one end zone target last season, which was down sharply from his total of nine in 2015. Still, he finished as a top-10 fantasy receiver in 31 percent of his appearances (seventh best). The Dolphins' top target will continue to dominate with the ball in his hands (his 6.8 RAC was third-best among wideouts last year) and makes for a quality WR2. Downgrade him in non-PPR."
Davante Adams,"This time last year, it was fair to wonder if Adams was a bust, following an injury-plagued and underwhelming 2015 in which he barely caught half of the balls thrown his way and averaged a horrific 5.4 yards per target (second worst). A healthy Adams changed the conversation pretty quickly by exploding into fantasy's ninth-highest-scoring wideout in his third pro season. Adams absolutely benefited from Aaron Rodgers and the Packers' pass-heavy, high-volume offense; his 16 end zone targets were fifth-most and helped him to 12 touchdowns (second most). Adams, who ranked 22nd at the position in targets, is a near-lock for touchdown regression to the mean, but he's only 24 years old and an every-down player in one of the game's best pass offenses."
Travis Kelce,"Kelce took his game to yet another level last season and ended up as fantasy's top-scoring tight end. That came after top-eight finishes during his first two full years in the league. Interestingly, when you compare 2015 to 2016, Kelce was actually on the field less last season, saw a slight dip in target share and scored one fewer touchdown. On the other hand, his catch rate (71 to 74 percent), average depth of target (5.5 to 6.7) and yards per target (8.7 to 9.8) increased, and he continued his post-catch domination. Kelce is a quality TE1, but lacks the upside of Rob Gronkowski and Jordan Reed."
Dalvin Cook,"The Vikings selected Cook in the second round of April's draft. The Florida State product supplies the team with an explosive and elusive back who is dominant after initial contact (2.6 YAC in 2016) and big enough to work at the goal line. Cook has the size and receiving ability to contribute on all three downs at the pro level. There are many red flags with Cook, including drops, fumbles, negative runs, an unimpressive combine and a handful of off-the-field incidents. At the end of the day, the 21-year-old is a potentially elite playmaker who can check boxes in the volume, scoring and receiving departments. He may start slowly, but it won't take him long to secure feature back duties ahead of Latavius Murray and Jerick McKinnon."
Emmanuel Sanders,"Sanders spent the first four seasons of his career as a secondary target in Pittsburgh, but he's grown into a star in Denver. His statistics have trended downward each of his three years with the team, but he's still managed to finish a season no worse than 21st among wide receivers in fantasy points. A whopping 29 percent of balls thrown to Sanders were off target last season (third highest), but he dropped only one of 136 targets and eclipsed 1,000 receiving yards for the third year in a row. Sanders handled a career-high 14 end zone targets last season (ninth most). Sanders is positioned well to finish top-15 at the position in targets for the fourth straight season, but his upside will be limited by Denver's weak quarterback situation."
Julian Edelman,"Despite finishing no lower than seventh among wide receivers in receptions during three of the past four years, Edelman has never finished a season better than 14th in fantasy points. Last year, Edelman ranked third in targets and second in catches, but found the end zone only three times. He led the NFL with 10 drops for the second time in three years and, despite catching 98 passes, he finished outside the top-20 receivers during 81 percent of his outings. A whopping 51 wide receivers had a better rate. Edelman is entering his age-31 season and his target share is sure to dip with Rob Gronkowski healthy and Brandin Cooks in the mix, but he remains Tom Brady's go-to short-area target. He's a fringe WR2 who should be downgraded in non-PPR."
Greg Olsen,"Olsen scored a touchdown on only three of his 80 receptions, but still managed to finish a career-best third in fantasy points among tight ends last season. Olsen has now finished top-seven at the position in targets, completions and receiving yards each of the past five years. His touchdown total was his lowest since 2007 despite reaching 10 end zone targets for the third time in four years. Olsen works downfield more than most tight ends; he's topped the position in average depth of target each of the past two years. Olsen enters his age-32 season as a near lock to find pay dirt more often. He's a strong, reliable TE1."
Allen Robinson,"Robinson was undoubtedly one of the biggest disappointments in fantasy last season. In 2015, Robinson's 1,400 receiving yards and 14 touchdowns powered him to the sixth-most fantasy points at the position. His playing time and targets actually increased in 2016 and yet he plummeted to 883 yards, six scores and a 25th-place finish. The difference? The long ball. In 2015, Robinson caught 15 of 43 targets 20-plus yards down field for 591 yards and two touchdowns. In 2016, he caught one of 24 for 24 yards and no scores. It's fair to expect some regression to the mean here, but Blake Bortles' shortcomings will continue to handcuff Robinson."
Jamison Crowder,"Despite absolutely disappearing during the fantasy playoffs last season, Crowder enjoyed a breakout second NFL season and was one of fantasy's most consistent wide receivers. He posted a top-30 fantasy week during 56 percent of his outings (12th best) but was limited to a pair of top-10 weeks. Crowder's touchdown total (seven) is likely unsustainable considering his size (5-foot-8, 185 pounds) and short-area/slot role that resulted in a 7.8 average depth of target (11th lowest) and six end zone targets (49th most). Of course, Crowder's role figures to increase in his third year, and with DeSean Jackson and Pierre Garcon gone. The Duke product is a sleeper for 90-plus catches and is a solid WR3 target."
Joe Mixon,"If not for his character concerns, Mixon would have been a near lock to come off the board in the first round of April's draft. Instead, he fell to Cincinnati at 48th overall. Mixon is an explosive runner and an elite pass-catching prospect. He has a big frame (6-foot-1, 225 pounds) and is only 20 years old. Mixon struggled with negative runs (21 percent) at Oklahoma last year but made up for it with dominant post-contact production (2.6 YAC). Also a terrific returner, Mixon can contribute in all areas out of the gate.  Mixon's combination of size, speed, athleticism and versatility supplies him with elite upside. He's the favorite for lead-back duties, but will need to fend off Jeremy Hill and Giovani Bernard for snaps."
Tyreek Hill,"The Chiefs selected Hill in the fifth round of last year's draft amid significant character concerns. Despite the late flier, Hill made an immediate impact, scoring 12 all-purpose touchdowns en route to finishing top-10 among wideouts in fantasy points during 19 percent of his games (18th best). He was the 19th-highest-scoring receiver overall (11th in non-PPR), and fourth from Week 8 on. Hill's role is expected to increase in his second year, but considering his obligations on special teams and 185-pound frame, he's an extremely poor bet to come close to his rookie-season-touchdown total (see Cordarrelle Patterson ad Tavon Austin). Hill is best viewed as flex who will provide boom/bust production."
Kelvin Benjamin,"Benjamin missed all of 2015 with a torn ACL, but he has managed top-20 non-PPR fantasy campaigns during his two full seasons. Although an impressive feat, it can't be ignored that Benjamin's usage and production was down significantly from 2014 to 2016. Additionally, he was fantasy's top-scoring wideout through two games last season but was 42nd from that point on. Benjamin's efficiency is far from ideal (career 53 percent catch rate, 7.6 yards per target), but his 6-foot-5, 245-pound frame generates him a ton of goal-line work. Benjamin paced the NFL with 24 end zone targets as a rookie and ranked 11th with 13 last year. The big man is best viewed as WR3 and should be upgraded in non-PPR."
Drew Brees,"As consistently dominant as they come, Brees has finished as a top-three fantasy quarterback during seven of the past 11 seasons, and no worse than sixth during that span. He's ranked top-two in the NFL in attempts, completions, yardage and completion percentage during six of the past seven seasons. Incredible. Brees was off target on an NFL-best 9.7 percent of his throws last season and has led the NFL in the category during four of the past six years. The loss of Brandin Cooks is far from ideal, but Brees' success has been built on spreading the ball around anyway. Expect Brees, 38, to provide nothing less than another top-five fantasy campaign."
